,objID,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
861497,117802007938254285,0.6461902,0.8773948081871599,2346.8609506107673,-20.96022023080269,1.596295813719683e-05
862391,117842007046508431,0.41327348,0.9933429951552581,1597.4305230337898,-22.1013227246174,9.855646838888312e-05
863261,136082008706579728,0.043288857,0.8566089019557873,183.57338552181486,-20.44803851444246,0.0016277809851678513
864283,125872009888434105,0.06613643,0.8560529761323847,278.975514323101,-20.29812497127942,0.0006139285280518963
864561,125912010223990022,0.3031026,0.8261535193263199,1205.7853829878593,-21.466934097944993,9.643476121255977e-05
864724,125822009943266930,0.053357594,0.8512246063440747,225.74460237811016,-20.50643825357458,0.0011359011819264248
866418,125912009696655172,0.07064136,0.9116883975265372,297.66286889553163,-20.699766717566,0.0007806517913667249
866760,142962011745067395,0.50635266,0.8266944520577639,1909.376666556107,-21.501329486851454,3.9696166888243616e-05
867158,142992011589978558,0.6258407,0.9772986026813644,2285.444542422684,-21.360598414230047,2.433873437514331e-05
867208,142992011685388098,0.21287866,0.8885920723015572,866.5215926226456,-21.718866664578428,0.00023549836013812307
867491,143032011660667074,0.06367215,0.9750046528175988,268.7359527431767,-21.51731739280671,0.0020336462612256558
868464,143732022793689298,0.07444382,0.8761330708982822,313.4051718849527,-21.08970760779416,0.0010084879771698834
869161,143792022163855442,0.1063359,0.8304664659782204,444.29457937957136,-21.26101944331053,0.0005875782994980568
869364,143752022429219627,0.10989839,0.8458098049479873,458.78735234927706,-19.45591516928973,0.00010450647369180895
870074,143792023378006000,0.734736,0.9286514434418001,2605.5640951125474,-20.95952884594064,1.2942197305331338e-05
870446,143802022868028626,0.066974305,0.8857296056579802,282.453784128761,-20.379213591669668,0.000645343056492034
870462,143802023018256043,0.046335805,0.8619664842383934,196.3565892560886,-20.670231006677874,0.0017458279544848893
871191,109852028829224278,0.0865201,0.9225621581736125,363.2083428618934,-20.893438697043123,0.0006267059926183204
871284,109832029084797677,0.059623614,0.949118511514552,251.88676758317126,-20.174207436691205,0.0006718499175999737
871290,109832029099568995,0.04273646,0.8876925389354049,181.25407294145856,-20.107833424282973,0.001220556312175458
871310,109812028906332100,0.041710835,0.8670218652608553,176.94645006476327,-21.289534019990384,0.0038030312990416145
871484,109822029013020135,0.05292459,0.9608527316418692,223.9342046995553,-20.52827470273681,0.001177793116201724
871554,109862029360091699,0.041907188,0.8881788790497811,177.77129524331485,-21.779197375944882,0.0059150126393008404
872147,145732030515275249,0.043656982,0.8740015575127331,185.11859763825794,-22.08932005739014,0.007258183097876173
873813,161302031442175527,0.32063708,0.9359153880501785,1269.7729254112724,-21.537923315996153,9.28361670039007e-05
874243,161332031918607384,0.61862653,0.846548038731564,2263.4918248023573,-20.68197272205523,1.3281013810021374e-05
874563,161292032415651780,0.04935791,0.8674444781117088,209.01592199849043,-21.57172642348354,0.0035345312764589023
874701,122172034702968235,0.05186047,0.937979637473705,219.4862165060808,-20.637820825549454,0.001356169040456296
874950,122122034437136254,0.050312977,0.9929182126604852,213.01312518540138,-20.45384087226141,0.0012154122821148492
875379,122142034529787831,0.38392085,0.8387892489617759,1495.4898798577428,-21.274922902537824,5.2529371437156414e-05
875517,122162034610626159,0.043387584,0.8562104073611057,183.98862207341904,-20.757411583241378,0.0021546795980584973
875984,146652046119428202,0.08051594,0.8775146528021889,338.484871831127,-20.41345097282752,0.0004637691572870544
877297,122352047649586761,0.067538105,0.8699952173142822,284.7950705616421,-20.87743883394473,0.0010044090049282906
877433,122372047855538422,0.066891715,0.9190106288771938,282.1111154590612,-20.51734322451155,0.0007346777606268156
877791,122392047957116059,0.55516255,0.9945082741125688,2066.236577081222,-21.221043459619345,2.618528428745565e-05
878001,138162055036059794,0.04356317,0.8950292523360318,184.7247860305351,-20.506376986018886,0.001696291360069269
879191,131092056733754293,0.04275423,0.8620752684522015,181.3292949835452,-21.053813475984683,0.0029146703590536126
879615,131112056455551866,0.799953,0.9258255521835796,2787.5416167772605,-21.04769962977803,1.2264140918650866e-05
880180,139472056358549852,0.038138013,0.9555968248719983,161.92328965084144,-20.445520729492706,0.0020873229825488257
880337,139512056486021879,0.05961574,0.871714605048872,251.85378646952418,-20.142528801909947,0.0006527014110297924
880644,139542056751063773,0.050341018,0.969792399625833,213.13065024133456,-20.444001480871663,0.001203119518385478
880854,139512056982111927,0.06344266,0.9784145939935605,267.78115692195286,-22.32227841031157,0.00429884055186861
881332,139482056725318295,0.08925655,0.8406928881296167,374.4539160357335,-20.399220908887443,0.0003740172304214501
881343,139482056749638266,0.04891674,0.9904853715713711,207.16891638153032,-20.625120828851884,0.0015045240787565234
881571,139482056473640820,0.08008041,0.8552905669694697,336.6882444702167,-20.65016605945067,0.0005829220954588764
882349,110892056417209481,0.044466943,0.8567291142735572,188.51829484128547,-21.401254659680262,0.0037135977338993847
882362,110922056842888216,0.48181993,0.8215047433886082,1828.807117553867,-21.113738038915457,3.028024668947288e-05
882576,110872056864995515,0.15825485,0.8649852580069395,652.9580371767735,-21.652547407072404,0.00039016509958121175
882595,110912056902279603,0.54784423,0.9201657608468308,2043.0065924063463,-21.657645792929312,4.004227842953798e-05
882719,110872056671345749,0.054167226,0.976980184234834,229.12748347771395,-20.64538656951904,0.0012531419174098082
882976,110922056727297115,0.059626784,0.8562229870047234,251.89979549179714,-20.61407876490398,0.0010073395283275639
883309,110912056400874735,0.5549382,0.9209576711589311,2065.5264687304525,-21.32778272695417,2.8910230981893276e-05
883530,164042056815998667,0.07163492,0.8580435528890276,301.7788237653851,-20.305692073383163,0.0005283227430164134
884358,164052057160133553,0.50009435,0.8445547664719903,1888.9348828070165,-21.462010152560097,3.911740959264403e-05
884546,166142057016707554,0.598274,0.9213164666994094,2201.0456072716424,-21.29011989768678,2.459177496288372e-05
884865,166142056657127469,0.07996742,0.8950530949406064,336.22111132235875,-21.063338534192766,0.0008552349788186412
885014,166132056927332705,0.043953475,0.8867094269782752,186.36296759247384,-20.727726166793126,0.002043483954107746
