objid,ra,dec,z_phot,z_phot_err,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
1237654879664930845,218.632699155835,3.62940500507402,0.30093488282029135,0.02743250887425641,1558.299347447764,-22.515606784015972,0.000151684406281143
1237654879664931151,218.760794918924,3.71076236018472,0.3215489793065014,0.027931620844221444,1682.4420259766534,-22.463820780610174,0.00012406466180088233
1237654879664930959,218.625647418031,3.66952551143855,0.07290314095004995,0.030731290496429097,329.41389801165764,-20.80710029078137,0.0007036493324675484
1237654879664931305,218.624877431752,3.62108101715528,0.3853120399294002,0.030923621628754814,2078.4670202266702,-22.462717048961697,8.120832334699112e-05
1237654879664865624,218.618350950567,3.61607527977103,0.12828012162566904,0.029440342196571358,601.5538576126094,-21.203445870797168,0.00030396901487863225
1237654879664996449,218.769820429551,3.56034097871405,0.17032863973787124,0.023427318995978053,820.039752922806,-22.054643580556046,0.00035825117212916045
1237654879664996376,218.813643138737,3.66637785438453,0.04443103642505784,0.01154014228508724,196.73670012907587,-20.169488133394754,0.0010965400235810028
1237654879664931309,218.630150909385,3.71943618149684,0.5760585393861111,0.05934603212223668,3360.174117325942,-22.23911592110791,2.5288484527741252e-05
1237654879664865604,218.602590895811,3.66779444159203,0.07543415592649308,0.02420125232140187,341.45101821253877,-21.052738530648128,0.0008211804244928789
1237668297681338706,218.874352580802,16.576860227795,0.3296464973241255,0.03189968930742228,1731.738952040337,-23.149221788265262,0.00022015262289286228
1237668297681338701,218.865275815972,16.5670686947057,0.2586873247913602,0.023528558193921266,1310.1320495582274,-22.486163124249348,0.0002088503021940237
1237668271905375085,218.879614396807,16.6106808604865,0.48924819616965254,0.043057418478714145,2760.0621862684225,-21.941543135777128,2.849571247104658e-05
1237662262708077411,219.276146083354,7.65572785012437,0.45472172347287176,0.041018674889227634,2528.955865507434,-22.225979751241933,4.410719097108022e-05
1237662236944433375,219.317110801952,7.65705467429554,0.19557332506974645,0.013785240996850082,955.8939704865376,-22.941156941033285,0.0005965451676124361
