,objID,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
382573,119771464998805654,0.45433974,0.5188560384029457,1737.162278328305,-21.18605434772808,3.587079140826856e-05
382599,119811463830055260,0.4296714,0.48954026170011966,1653.628238911749,-20.994083224857757,3.3170920980110835e-05
382612,119811463894050953,0.45571068,0.4615048800006205,1741.7699641397353,-20.901989216254236,2.7467181183207234e-05
382740,119771464137294825,0.48159945,0.3503932080434171,1828.0769629716233,-20.944872405031816,2.5939405025452976e-05
382843,119811463586482951,0.27146804,0.7388316404450226,1088.7429297650624,-21.446246381082414,0.00011605072473178346
382962,119771463653255589,0.24928114,0.636360806867384,1005.424377807757,-21.149275273570208,0.00010351690704167602
382998,119801464159428777,0.36840796,0.2722545261958622,1440.912481882048,-20.60963452270767,3.0660455474054856e-05
383005,119801464177945908,0.6595979,0.31624522824282053,2386.920533234353,-20.797644704767592,1.3285624116030843e-05
383106,119771462889877913,0.34306863,0.2946463540682569,1350.7135564371108,-20.617692140514293,3.515202422258155e-05
383119,119771462982285390,0.37576345,0.818384623390846,1466.8510868149451,-21.28963629564545,5.534551899490861e-05
383477,119781463811088928,0.63562596,0.5304545287622937,2315.0711633473393,-20.59502688610589,1.1718770891105957e-05
383487,119781463860666177,0.16030003,0.38440159752750724,661.0652458550313,-20.152141384405393,9.558019286440965e-05
383568,119331464435059892,0.31978098,0.729957116327943,1266.6636690708663,-21.270953913620158,7.295565101185378e-05
383654,119781463362025050,0.04957795,0.7730198850627339,209.9374204487251,-20.507041490349017,0.0013141256217569788
383666,119781463421191921,0.6057404,0.3550504510515858,2224.0423341354763,-20.84357016606797,1.5964009114125014e-05
383776,119331463828849096,0.67845595,0.5444775630372556,2442.722825991651,-20.605887089805336,1.0631791585181227e-05
383864,119781463014368398,0.20064579,0.4506532319468857,819.2280211463053,-20.60844077980093,9.474727204331499e-05
383894,119781463094263679,0.26585698,0.4411736923752918,1067.7675632276896,-21.091086914842194,8.699240120186761e-05
383932,119331463154357229,0.06693104,0.686299312235924,282.27514888693645,-20.476361781476356,0.0007066419604468141
384003,119331463466154429,0.24086061,0.7225251063351166,973.5366903654947,-20.902636049473507,8.797307496400718e-05
384005,119331463470545007,0.37323835,0.7540247519629082,1457.9584131817644,-21.722312952223657,8.34516462091621e-05
384052,159161464241697027,0.3113397,0.3789279450594565,1235.9230704576714,-20.900828445414106,5.449397647878888e-05
384053,159161464242971681,0.66890126,0.34465799405891223,2414.5281570034604,-20.83663464188608,1.345827220957917e-05
384107,159161464356194749,0.49262267,0.4332120375190457,1864.4291903637416,-20.97705338483313,2.568795704130076e-05
384117,159161464403424964,0.5152195,0.9936337416391965,1938.2105256583395,-21.115824894176058,2.7010216309803057e-05
384128,159161464462699790,0.21012275,0.3124129443791497,855.8932691471405,-19.67723938215142,3.6817689497478884e-05
384215,159181464268100661,0.56112933,0.8256138976207796,2085.1025142890903,-21.362425900141577,2.928974132028056e-05
384314,159201464934105771,0.55355203,0.8728570242213529,2061.1338282665774,-21.13051115842873,2.420984901604914e-05
384327,159201464838700352,0.2945014,0.43113041614549363,1174.165914094678,-20.520587461596136,4.2537900124495105e-05
384351,159131465070150795,0.4782062,0.7856406055404335,1816.8392949624294,-20.966087985226064,2.677948158823573e-05
384418,159131464690693304,0.2864936,0.5856795568079753,1144.59129871247,-20.866236664659702,6.154514309645265e-05
384608,159121464711568172,0.101620845,0.664501021305747,425.07182619363965,-20.28147167102327,0.00026041381909488537
384747,159161464171559129,0.49529406,0.25462541820677587,1873.2026983516137,-20.558819333065035,1.7312436114572776e-05
384811,159181465260340064,0.3169298,0.2993709447619839,1256.2959630812227,-20.441811617564213,3.455737283394732e-05
384843,159191465162931668,0.16675705,0.43579631186798945,686.6033266485542,-19.34413753238779,4.209623027053367e-05
384953,159141464691844162,0.4446929,0.3333641320132989,1704.6384713615735,-20.801973026671874,2.6153188220589015e-05
385017,159211464624879623,0.38563037,0.27400955398651394,1501.4745772632073,-20.16114723141793,1.8681981005638935e-05
385200,159171464940494479,0.60648096,0.6472564262745819,2226.3178081869855,-20.826187905913027,1.5678367567164427e-05
385277,159171464999692421,0.38159037,0.3980656703161365,1487.3216723341138,-21.058382105597648,4.3505386346013345e-05
385279,159171465001631991,0.3382492,0.29307576077007047,1333.4102821767333,-20.625676251270853,3.633648394627413e-05
385341,159151464374528809,0.11688529,0.6443206382162916,487.13854723814336,-20.288704061888545,0.00019960739713171093
385452,159181464769582672,0.23647295,0.3588202024532276,956.8632912705551,-20.314981473780712,5.300206640947505e-05
385560,159211464732467492,0.59588957,0.7048501897657651,2193.6792483184454,-20.727157713963905,1.4740656693637097e-05
385602,159161464769886861,0.07939854,0.8844943603123625,333.87460265694017,-20.53943185667805,0.0005353107616276458
385637,159161465037097324,0.10875176,0.6519066236831457,454.12582820291703,-20.410271378230178,0.00025689529214793647
385716,159191464884029380,0.46483186,0.27466393519741883,1772.3273385750892,-20.549589808383985,1.917555974481811e-05
385789,159191464522044555,0.14211492,0.6045120315933348,588.6817523094727,-19.227564132505904,5.1435682289966256e-05
385846,159171464314480981,0.067188166,0.995372814839325,283.34265123864316,-23.502681319298652,0.011388030487620148
385852,159171464325840041,0.09315543,0.88010326821448,390.4487889599304,-26.716748233951044,0.11576336259693161
385906,159171464766423956,0.05293225,0.9397312588666086,223.9673287881349,-20.425660089655146,0.001071259522154366
385909,133571468794794195,0.16288692,0.6327917703088382,671.3065659442242,-19.739152169184948,6.336057031527988e-05
385988,133551468717658899,0.61092216,0.5434289393699903,2239.9420001368007,-20.777815209560384,1.4813324536455649e-05
386021,133551468615094436,0.40753928,0.2369904208174453,1577.6513550445586,-20.351716142506667,2.0168072199817757e-05
386053,133571468907763828,0.3372366,0.8251530980683426,1329.7691146516474,-21.663440806799674,9.502192825309814e-05
386069,133571468851043342,0.3352594,0.6986162364238906,1322.6519762920864,-21.434485354247414,7.778627440388971e-05
386086,133581468465377023,0.3998236,0.701004631166894,1550.9340557579,-21.104754118212696,4.175562440794926e-05
386089,133581468496185304,0.13717246,0.41752993410109807,568.8912417432226,-19.010687247019064,4.510413966939924e-05
386216,133591468588770265,0.050937794,0.9827322840462974,215.62771219916416,-19.818091872702382,0.0006604312258119945
386228,133591468639361741,0.3153524,0.7203997958958492,1250.5540481229898,-21.17901682192754,6.877043888740894e-05
386255,133571468570771599,0.18398471,0.41080179030628416,754.3204058859066,-20.57277747024333,0.00010814321466466793
386308,133571468242828314,0.372644,0.3700321877010364,1455.863772188177,-20.832170050563235,3.686604440964651e-05
386443,133611468425990329,0.3102578,0.24155496225118434,1231.971786802971,-20.236407814983437,2.974141325590275e-05
386447,133611468495721170,0.22572455,0.8753333078799634,915.8503265185882,-21.550295536978425,0.00018049667483850416
386467,133611468624164004,0.3088623,0.24695733502318684,1226.8726629736368,-20.448609123059523,3.6462351205612434e-05
386676,133621468469443509,0.12854326,0.5715019237576464,534.2199417096638,-19.964433709285743,0.00012312132836520248
386685,133621468522013912,0.069995455,0.7883101206223888,294.9856123552384,-20.602086882206393,0.0007264957608415374
386743,133621468741303519,0.35449845,0.23701100688347077,1391.561427467133,-20.423068552679442,2.768360582665266e-05
386785,133591468881273410,0.6704467,0.6791167640383797,2419.0992647206294,-20.634653394599063,1.1131507388853894e-05
386795,133591468926361186,0.44638988,0.5362784597285049,1710.3737930273446,-21.138865207624313,3.542941782308672e-05
386839,133601468392379517,0.50167525,0.3362835676286249,1894.1058951153002,-20.68937352094262,1.9095933643420577e-05
386846,133601468408623365,0.31716007,0.5108294257035391,1257.134027641663,-20.765108470765725,4.6481509619424864e-05
386850,133601468433997971,0.21580002,0.5221468991671456,877.7692593770397,-20.697442737506265,8.95810937216934e-05
386903,133601468845915509,0.10104196,0.7349201966108967,422.7093015709135,-20.54076730921897,0.00033436692776539945
386906,133601468852953704,0.32370827,0.7324281503345929,1280.915490453736,-21.50762714942546,8.871762443504493e-05
386922,133601468954712062,0.07823884,0.8326811330095993,329.0883779246438,-20.666589105888782,0.0006194561261532986
386952,133611468338642448,0.21112575,0.5268290820608699,859.7638531514636,-20.633390043998983,8.802330139572554e-05
386956,133611468376518228,0.12668045,0.5414363443528654,526.7149758824733,-19.7352176144391,0.00010255001127576037
387098,168541471074738557,0.33348832,0.33303210845976494,1316.2708038511857,-20.682459204611842,3.929100931312091e-05
387171,168591471690921497,0.1121394,0.5916909541634363,467.89146541682805,-19.88855832843032,0.0001496694229898914
387188,168591471778401189,0.04392052,0.9503075086373665,186.2248503736471,-20.703821912795405,0.0020019512474642367
387274,168561471460634884,0.37682664,0.20900154716068164,1470.5915904056617,-20.03356137811902,1.7315713639076492e-05
387422,168631471291534919,0.46920535,0.34431339750093276,1786.922197346776,-21.109307788915203,3.158725075960815e-05
