paliya_RA,paliya_DEC,paliya_Z
206.1101,44.27224,0.05435376
206.2205,0.08896919,0.08696799
206.3529,-2.994404,0.08537552
206.5338,29.63624,0.07666916
206.9161,32.74257,0.08191318
206.9791,44.73899,0.09156122
207.1456,26.51942,0.05893187
207.2352,57.38952,0.09497876
207.7367,7.709561,0.07953357
209.1437,21.63123,0.06490238
209.1824,2.838641,0.09117545
209.7167,25.19451,0.08884071
209.9336,4.94709,0.08578548
210.1088,13.30208,0.07941194
210.2376,34.56379,0.09561173
210.2799,10.81063,0.06531659
210.5394,32.25728,0.08107937
210.6435,21.99767,0.066
210.746,17.3489,0.06008187
211.5912,22.39626,0.0979
211.7483,23.29409,0.06049831
212.825,4.958364,0.09399216
212.8577,25.43001,0.06808099
213.1869,7.025123,0.09874205
213.222,10.28808,0.09286912
213.5131,35.3865,0.05743051
213.527,27.0578,0.07320009
213.6438,29.57452,0.07580423
214.4814,43.19886,0.07890935
215.0179,47.12134,0.0703766
215.1271,44.54578,0.0932774
215.2434,48.32246,0.07288176
216.6059,15.61053,0.05523665
217.3545,45.30882,0.07453756
217.3647,24.49095,0.09574435
217.5068,45.84698,0.09353366
218.0958,6.349974,0.08720205
218.2935,14.00443,0.07711595
218.5481,16.84901,0.09354986
218.7109,3.645163,0.02833738
218.8872,16.57019,0.07300445
219.0105,33.13158,0.09384374
219.2445,16.75379,0.07160957
219.2853,7.670447,0.08729032
219.2935,56.89829,0.07350796
219.3065,54.97186,0.09336096
219.393,26.28064,0.06479261
219.4634,6.832607,0.08554875
219.7863,25.66265,0.09147412
220.2192,-2.585081,0.04443099
220.2981,-2.209773,0.08226972
220.7266,19.28719,0.07050572
221.1318,15.61201,0.04960209
221.7728,0.6147954,0.09536646
221.9096,5.022793,0.09616373
222.0055,32.05399,0.05819429
222.3863,0.3767575,0.08045062
222.5124,25.91146,0.06036076
222.7759,26.60214,0.0842628
222.7865,27.15748,0.0645
222.7889,29.44065,0.07547154
223.1552,49.76696,0.09131216
223.6062,46.75672,0.06914386
223.6123,18.3285,0.05903365
223.8237,17.64161,0.09492406
223.883,5.565888,0.09305653
224.4878,53.89227,0.08061651
224.6781,21.60277,0.06334238
226.2804,43.83467,0.09348072
226.7036,34.21856,0.08801956
226.9375,51.45285,0.04591636
226.9689,51.85307,0.07457047
227.0384,13.009,0.08560693
227.2276,21.35722,0.08011348
227.594,3.03892,0.09504289
227.6038,0.9788434,0.07209635
227.6188,13.56516,0.071
227.7648,10.54089,0.06677073
227.7845,4.854651,0.0769651
228.3891,22.15525,0.06911041
228.4871,48.17003,0.07914957
228.744,28.73501,0.0787024
229.0481,15.07706,0.08271035
229.1436,20.9772,0.0397765
229.2997,7.219691,0.0761059
230.2738,28.44828,0.08920678
230.2872,50.66861,0.05620557
230.5398,45.19004,0.06582694
230.5724,16.80789,0.08271975
230.8518,55.31539,0.03888872
231.5647,30.38772,0.08962732
231.6557,6.994911,0.03842279
232.135,28.96422,0.06333345
232.1705,10.55781,0.08874598
232.1831,0.127924,0.09432623
232.3896,55.25165,0.07239492
232.4191,30.48593,0.03571216
232.5076,-2.070846,0.05120365
232.9219,20.32498,0.04937035
233.4196,18.51832,0.09151086
234.5711,11.54656,0.0928172
234.6283,44.67738,0.07263915
234.9388,1.215992,0.09977608
235.5595,9.948533,0.05045299
235.7396,3.114805,0.06551804
236.8329,14.73378,0.09200244
237.0615,45.0077,0.03709324
238.1037,4.29062,0.04573886
238.7831,19.19239,0.03584296
239.1704,12.28834,0.03551151
239.7901,35.02986,0.03102375
240.3109,31.09093,0.08931328
240.458,20.87492,0.08842925
240.5372,26.32932,0.0720337
240.8937,20.59634,0.08616762
240.9352,26.78095,0.08539297
241.0388,23.24215,0.08844264
241.287,32.65599,0.09142557
241.7335,37.32161,0.04112531
241.9417,34.84694,0.05361078
242.0278,42.68272,0.0844035
242.4938,46.16395,0.08852783
242.9714,53.0742,0.08828041
243.116,1.03327,0.09730883
243.8653,40.5316,0.08335736
244.529,50.39531,0.05558176
244.5391,36.33273,0.03376276
