,raMean,decMean,gMeanKronMag,rMeanKronMag,iMeanKronMag,zMeanKronMag,yMeanKronMag,gMeanKronMagErr,rMeanKronMagErr,iMeanKronMagErr,zMeanKronMagErr,yMeanKronMagErr,spec_redshift,spec_redshift_error
27,0.1987400838543391,-10.511839928482186,-999.0,20.79290008544922,20.13319969177246,19.947900772094727,19.51020050048828,-999.0,0.1306769996881485,0.0286509990692138,0.0725559964776039,0.1165409982204437,0.1102601,6.97745e-06
28,0.2000623563829589,-11.200745577550904,18.50869941711425,18.377500534057617,18.12339973449707,18.253700256347656,18.09339904785156,0.0143100004643201,0.0122990002855658,0.0131620001047849,0.0176669992506504,0.0856970027089119,0.1979673,5.006331e-05
29,0.2089006428056992,-10.27582072894211,19.698699951171875,18.447099685668945,17.956199645996094,17.733200073242188,17.613100051879883,0.0444779992103576,0.0163519997149705,0.0158639997243881,0.0155050000175833,0.0573109984397888,0.0295995,4.883551e-06
30,0.2119068380994743,-10.999772177110312,17.45319938659668,16.891399383544922,16.466999053955078,16.325899124145508,16.34040069580078,0.004674999974668,0.0064750001765787,0.0040690000168979,0.0094839995726943,0.0218690000474452,0.1679458,3.945061e-05
31,0.2170491410796183,-10.28504475427565,17.470600128173828,16.555200576782227,16.082799911499023,15.826499938964844,15.70110034942627,0.0251989997923374,0.0045960000716149,0.0035810000263154,0.0075830002315342,0.0096570001915097,0.07586662,1.646339e-05
32,0.2224897745241605,-10.916081599129514,21.61240005493164,21.1028995513916,20.105199813842773,19.726299285888672,19.48450088500977,0.1879059970378875,0.0522559992969036,0.0455360002815723,0.0446310006082057,0.10190299898386,0.1551413,2.214987e-05
33,0.2245600352692212,-10.260353244812128,-999.0,20.930200576782227,20.060800552368164,19.66550064086914,19.05739974975586,-999.0,0.1762350052595138,0.0313819982111454,0.0475150011479854,0.1554329991340637,0.06584495,1.708542e-05
34,0.22802513,-11.19766103,-999.0,19.13129997253418,18.13520050048828,-999.0,-999.0,-999.0,0.0425649993121624,1.999999994950485e-06,-999.0,-999.0,0.08185235,2.876114e-05
35,0.2407795216240728,-10.657784179870037,21.38120079040528,20.15410041809082,19.26059913635254,18.9773006439209,19.114999771118164,0.2069350033998489,0.0377519987523555,0.0396890006959438,0.0578260011970996,0.2542249858379364,0.04415089,1.211321e-05
36,0.240892926878509,-10.852446023378564,21.058300018310547,20.58760070800781,19.753400802612305,19.49880027770996,19.05820083618164,0.1846829950809478,0.0572820007801055,0.0282639991492033,0.0579360015690326,0.0851169973611831,0.04423985,1.265487e-05
