distance,objid,ra,dec,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,sdss_photo_redshift,sdss_photo_redshift_error,photoErrorClass,specObjID,spec_redshift,spec_redshift_error
6.43165746712851,1237665227841339935,182.277382006487,33.1642598272123,23.32205,20.99828,19.58264,18.82726,18.24363,0.4876418,0.08010966,0.03122602,0.02361077,0.05085724,0.0592378,0.0461577,0.03193168,0.02372866,0.01764976,0.434294,0.024611,1,2352031352360036352,0.4725595,0.0002425357
1.32507878982888,1237662194525995863,183.425040676853,42.4839052043941,23.44836,21.98102,21.51288,20.40246,19.96004,1.326417,0.3721245,0.1063545,0.05060501,0.1528744,0.06578069,0.05125587,0.03545857,0.02634952,0.0195992,0.572623,0.034914,-6,9438590294130186240,0.5877633,0.000237713
1.86745209074495,1237661967429599391,183.417580177056,42.4920437702374,18.76935,20.97032,18.99088,18.20833,18.17224,0.2580031,0.08365934,0.02705308,0.0191069,0.05625555,0.06579018,0.05126327,0.03546369,0.02635332,0.01960203,0.456256,0.016567,1,1632686034028357632,0.4365212,0.0001431921
1.87923586381735,1237661967429599392,183.416552523093,42.4920369954179,20.00492,21.93673,19.5468,19.09681,19.06601,0.4818159,0.1553758,0.03263617,0.025478,0.08791859,0.06578317,0.0512578,0.03545991,0.02635051,0.01959994,0.383573,0.034637,1,7468238224965785600,0.4398873,0.0001181911
2.54449567547471,1237662194525995137,183.372882798749,42.4509720913512,18.87455,17.81973,17.27406,16.89499,16.57594,0.03376557,0.006434286,0.005665776,0.005520989,0.0135901,0.06530096,0.05088206,0.03519998,0.02615735,0.01945627,0.089431,0.020881,1,1632601096755111936,0.07760066,8.942296e-06
0.000100480019679,1237651752938242183,183.825998360627,1.79755065415119,18.955,17.98089,17.34085,16.95965,16.70375,0.02685032,0.006761726,0.00591013,0.005644885,0.01373012,0.1126194,0.08775225,0.0607066,0.04511151,0.03355468,0.133026,0.026311,1,583276113413826560,0.07095715,1.421544e-05
1.02583199249958,1237651752938242246,183.838556899717,1.78594097592037,20.23637,20.33732,18.66182,18.1173,17.80428,0.3413227,0.03958683,0.01552648,0.01260319,0.03414636,0.114013,0.08883813,0.06145781,0.04566974,0.03396989,0.294862,0.02652,1,5348131854343231488,0.2542048,3.931398e-05
1.07740862836926,1237651752938242249,183.839216409089,1.78538776507647,23.88403,19.5036,17.97729,17.56961,17.07845,2.043175,0.02532627,0.01187487,0.01003412,0.02559941,0.1140813,0.0888914,0.06149466,0.04569712,0.03399026,0.245782,0.020272,1,583274189268477952,0.2560112,4.98612e-05
2.2823344735504,1237651752938242922,183.803412391466,1.76693642881212,20.57403,22.79517,21.11602,19.78737,18.82082,0.8442959,0.286664,0.1525869,0.04064004,0.09526552,0.1140769,0.08888797,0.06149229,0.04569536,0.03398895,0.700853,0.047342,-4,5348131579465324544,0.6912989,0.0001842102
2.38440547237965,1237651752938242342,183.865744093111,1.7986632589289,24.98789,21.99634,20.50193,19.61138,18.92482,1.955633,0.208617,0.05906751,0.03836685,0.1046528,0.1139569,0.08879445,0.06142759,0.04564728,0.03395319,0.510011,0.027365,1,5348121408982767616,0.4942439,0.0001227868
