objID,ra,dec
102210042773928007,4.27737892,-4.81866835
102210042783057998,4.27830248,-4.81867809
102210042788086779,4.27878384,-4.81968515
102210042788169697,4.27874291,-4.81741838
102210042791139206,4.27911074,-4.81767136
102210042792796813,4.27925969,-4.81965208
102210042839049997,4.2839294242354855,-4.817069640860889
102220042412208148,4.24124446,-4.81026299
102220042430735728,4.24306567,-4.81223734
102220042432232445,4.24322461,-4.81496809
102220042438234889,4.24381732,-4.81294406
102220042441848746,4.24420655,-4.80977525
102220042443781180,4.24437278,-4.81603457
102220042445275800,4.24452188,-4.81218543
102220042454529215,4.24547983,-4.80938318
102220042456796317,4.24567124,-4.81174656
102220042457432915,4.2457737,-4.81464429
102220042458873693,4.24588105,-4.81393504
102220042466265138,4.24665616,-4.81279219
102220042467254472,4.24672241,-4.8132921
102220042469546602,4.24697126,-4.81155632
102220042472859112,4.24731523,-4.80948542
102220042476771762,4.24766783,-4.81554604
102220042477089995,4.24770288,-4.808683
102220042480786282,4.24807133,-4.81177809
102220042481921430,4.24818553,-4.81582566
102220042490230430,4.24901681,-4.81665885
102220042490547952,4.24905177,-4.81039268
102220042491548643,4.24916496,-4.80986156
102220042493385437,4.24933596,-4.81248855
102220042500173643,4.25013746,-4.81403313
102220042502624244,4.25028503,-4.81353392
102220042506728170,4.25070947,-4.81025081
102220042510597333,4.25105458,-4.81089597
102220042519058143,4.25190575,-4.81022063
102220042522625128,4.25225614,-4.81273809
102220042523635932,4.25239868,-4.81205931
102220042525273650,4.25252139,-4.81396997
102220042526556198,4.25264921,-4.81180915
102220042526617479,4.25264931,-4.81077503
102220042531702392,4.25319721,-4.81507877
102220042539684657,4.25402596,-4.81319552
102220042541171976,4.2541468,-4.81540995
102220042541328207,4.25415772,-4.8102384
102220042542254494,4.2542511,-4.81332103
102220042544977344,4.25451557,-4.81093842
102220042549164313,4.25501327,-4.81352939
102220042549322379,4.25492028,-4.81503141
102220042554845772,4.25547996,-4.81220007
102220042558903682,4.25588549,-4.8139417
102220042566508829,4.256645,-4.8096536
102220042571269236,4.25715308,-4.80922999
102220042572018808,4.25722615,-4.80971722
102220042576898924,4.257689,-4.80958782
102220042578393384,4.25786941,-4.81424776
102220042584218364,4.25842245,-4.81003692
102220042586236585,4.25861762,-4.81152328
102220042594569878,4.25947927,-4.80882747
102220042596988592,4.25972804,-4.80989592
102220042600494872,4.26003596,-4.81295508
102220042600497250,4.26007229,-4.8110184
102220042602512449,4.26024782,-4.81495825
102220042603869252,4.26040697,-4.80935485
102240042734485425,4.27342471,-4.79582718
102240042737684701,4.27374277,-4.7964273
102240042740036561,4.27401359,-4.79494743
102240042741442738,4.27402602,-4.79814262
102240042748666314,4.27486905,-4.79506551
102240042751786555,4.27520684,-4.79493424
102240042786350837,4.27865104,-4.7997032
102240042791676163,4.27915954,-4.79520514
102240042792359752,4.27922879,-4.79221874
102240042822944696,4.28231339,-4.79647833
102240042832995692,4.28325262,-4.79560804
102240042834383246,4.28337214,-4.79756434
102240042838165030,4.28379426,-4.7961558
102240042838420958,4.28382628,-4.79955498
102240042842386360,4.284275647512854,-4.79509712326369
102240042843304999,4.2842826,-4.79618485
102240042845426615,4.28454369,-4.79489392
102240042847693069,4.28478026,-4.79784184
102240042851064960,4.28507304,-4.79622583
102240042851253664,4.28509238,-4.79729965
102240042857365609,4.28573678,-4.79566553
102240042858578506,4.28584657,-4.79326491
102240042861333907,4.2860851,-4.79709516
102240042863018981,4.28631058,-4.79291381
102240042865313063,4.28649743,-4.79780347
102240042867750351,4.28678671,-4.80010425
102240042870652562,4.28707253,-4.79827338
102240042882157647,4.28820337,-4.79398107
102240042890144938,4.2890036,-4.79623787
102240042892236474,4.28921049,-4.7949584
102240042892582155,4.28922306,-4.79856258
102240042893592640,4.289383093370512,-4.798181861527861
102240042894001707,4.28935003,-4.7989278
102240042895127601,4.28949485,-4.79401991
102240042899812894,4.28997742,-4.797945
102240042900862156,4.29007333,-4.79855062
102240042902405314,4.29025582,-4.79598145
102240042903380237,4.29033818,-4.80014263
102240042906184910,4.2906052,-4.79626083
102240042909344976,4.29094066,-4.79625249
102240042909455344,4.29095169,-4.79594552
102240042920481432,4.29203735,-4.79915889
102240042922862974,4.29227273,-4.79787359
102240042926926871,4.29268264,-4.79461892
102240042929742038,4.29298619,-4.79869775
102240042930354699,4.29304413,-4.79648222
102240042932691873,4.29325579,-4.79879136
102240042946130386,4.29459918,-4.80002976
102240042957205724,4.29572932,-4.79563198
102240042961102393,4.29608784,-4.79835473
102240042965176085,4.29653872,-4.79532691
102240042968199083,4.29682794,-4.79278715
102250042304416210,4.23043273,-4.78684184
102250042305663338,4.23059952,-4.78928877
102250042305758598,4.230613,-4.78489619
102250042306125906,4.23060155,-4.7870952
102250042307768853,4.2307757,-4.7846481
102250042308011163,4.23080548,-4.7910428
102250042309453649,4.23093434,-4.78897625
102250042310384778,4.23103001,-4.78803782
102250042311294459,4.231184514155414,-4.788297539037987
102250042312655046,4.23125554,-4.78781553
102250042313180091,4.23132202,-4.79193623
102250042314537425,4.23148943,-4.78587211
102250042315078021,4.23143561,-4.78527614
102250042320987659,4.23208701,-4.78563526
102250042326357771,4.23262525,-4.78554196
102250042328796516,4.23287548,-4.78658768
102250042333087255,4.2332993,-4.78597373
102250042342878002,4.23432806,-4.78539726
102250042343109618,4.234355697627586,-4.784113793216704
102250042343711060,4.23437056,-4.79113961
102250042347648733,4.23475562,-4.78474247
102250042351499078,4.23513837,-4.78445635
102250042364558906,4.23650131,-4.78464836
102250042368746587,4.2368614,-4.78653106
102250042369227358,4.23691362,-4.78588418
102250042374952756,4.23752277,-4.78977116
102250042376271888,4.2376615,-4.7904932
102250042380427237,4.23803311,-4.78598511
102250042381826875,4.23816932,-4.78629042
102250042399031007,4.23989686,-4.79117987
102250042400953580,4.24012287,-4.78909084
102250042410471203,4.24105387,-4.79101068
102250042415819376,4.24158778,-4.7841956
102250042428388223,4.24282421,-4.78516724
102250042435559300,4.24358479,-4.78431619
102250042443834451,4.24437724,-4.78830191
102250042447519758,4.24474153,-4.78376312
102250042448968545,4.24487002,-4.78485711
102250042454962869,4.24550737,-4.78962236
102250042459160532,4.24591643,-4.791564
102250042459871781,4.24600413,-4.79058597
102250042465119437,4.24650449,-4.78415544
102250042466219759,4.24661794,-4.78388568
102250042476590104,4.24765939,-4.7919207
102250042480493331,4.248068,-4.78930323
102250042480941627,4.24814162,-4.79064346
102250042482534745,4.24825095,-4.78806462
102250042486258264,4.24863061,-4.78512207
102250042489249703,4.24892479,-4.78392572
102250042493968625,4.24927577,-4.78490074
102250042496115645,4.24961193,-4.78730614
102250042496121296,4.24960763,-4.79093166
102220042606935467,4.26068713,-4.81245511
102220042607538471,4.26075221,-4.80996558
102220042608379883,4.26086309,-4.80882877
102220042608877619,4.26091481,-4.81072754
102220042614579358,4.26148022,-4.80926866
102220042622720967,4.26225741,-4.81620221
102220042634193352,4.26340277,-4.8142142
102220042635662711,4.26357089,-4.81475495
102220042639459247,4.26394136,-4.80931273
102220042649624041,4.2649849,-4.81370599
102220042649773654,4.26496139,-4.81397177
102220042653520556,4.26535361,-4.81656608
102220042659678935,4.26596394,-4.80956256
102220042661395267,4.26616212,-4.81268471
102220042663015714,4.26631932,-4.81230513
102220042664539528,4.26645475,-4.80906662
102220042669097554,4.26690546,-4.81071334
102220042680335725,4.26802983,-4.81223782
102220042682448719,4.2682477,-4.80980068
102220042683566317,4.26835688,-4.8117426
102220042691487296,4.26912527,-4.8109317
102220042695387990,4.2695255,-4.81040821
102220042700993965,4.27009901,-4.81370313
102220042702074747,4.27022453,-4.81311694
102220042713420384,4.27133741,-4.81668854
102220042714501469,4.27145105,-4.81578231
102220042715556726,4.271572090183979,-4.811446729808725
102220042719218946,4.27191195,-4.80955934
102220042726003743,4.27259473,-4.81389403
102220042726168617,4.27261086,-4.80983004
102220042728765164,4.27287112,-4.81271013
102220042730438912,4.27304471,-4.80958255
102220042735077431,4.27350129,-4.81081872
102220042739718416,4.27395042,-4.80998952
102220042739914652,4.27400682,-4.81319345
102220042741733068,4.27417367,-4.81445074
102220042741820865,4.27420351,-4.8163456
102220042742236157,4.27421714,-4.81188003
102220042742493372,4.2742695,-4.81426013
102220042743544506,4.27433667,-4.81326705
102220042744358091,4.27441166,-4.81026315
102220042745869241,4.27460178,-4.80936626
102220042750414484,4.27501728,-4.81326697
102220042753951158,4.27537084,-4.81603306
102220042757348901,4.27573561,-4.80958825
102220042759240061,4.27602728,-4.81693705
102220042765869326,4.2765564,-4.80923561
102220042766605560,4.27667701,-4.81242727
102220042766927516,4.27668114,-4.81074908
102220042768004810,4.27664711,-4.81298541
102220042769012313,4.27689037,-4.81508213
102220042769141854,4.2769072,-4.81546569
102220042770185593,4.27703283,-4.8123972
102220042773286764,4.27734458,-4.81142491
102220042773996085,4.27728466,-4.81196637
102220042774841790,4.27748481,-4.8155172
102220042777923205,4.27776017,-4.81433392
102220042778590708,4.27787102,-4.81641353
102220042779104470,4.27789931,-4.81328529
102220042779357366,4.27793115,-4.810865
102220042782157832,4.27820488,-4.81047918
102220042782632179,4.278245,-4.81518279
102220042784381351,4.27845398,-4.81593211
102220042785256936,4.27851192,-4.81123422
102220042785306230,4.27851724,-4.8118207
102220042785635364,4.27858217,-4.81253626
102220042786119355,4.27860031,-4.80921649
102220042786813750,4.27869697,-4.81393381
102220042788354822,4.27882368,-4.81299322
102220042790493094,4.279034,-4.81443336
102220042790877933,4.27907241,-4.81040128
102220042798617074,4.27983234,-4.81112349
102220042799153103,4.27993294,-4.81447615
102220042800478459,4.28000459,-4.80996471
102220042800510915,4.28004091,-4.81625349
102220042803936199,4.28040587,-4.81189411
