objID,ra,dec
108350014266813229,1.42675174,0.29398023
108350014267329613,1.42692734,0.29939537
108350014272289186,1.42728306,0.29895036
108350014275159848,1.4273355,0.29945687
108350014276881750,1.42768984,0.29276414
108350014278066120,1.42787089,0.29639808
108350014278633242,1.42792398,0.29398892
108350014279899960,1.42805608,0.29958111
108350014280277660,1.42809577,0.297672
108350014285167342,1.42859106,0.29740411
108350014286516992,1.42872926,0.29712411
108350014288620646,1.42886678,0.2918511
108350014294526026,1.429517559721411,0.29633450605472833
108350014303242418,1.43038553,0.29330795
108350014305930700,1.43059725,0.29189584
108350014306805841,1.43074967,0.29616061
108350014309343410,1.43099595,0.2941277
108350014312073838,1.43127369,0.2944868
108350014313754743,1.43144012,0.29524991
108350014317781969,1.4317592,0.2929473
108350014318514139,1.43191805,0.29474204
108350014318896576,1.43188487,0.29679824
108350014321324217,1.43220054,0.29480077
108350014322701369,1.43225295382567,0.292293887628446
108350014323632726,1.43243005,0.29354732
108350014324559902,1.43252438,0.29953692
108350014326819492,1.43268605,0.29922094
108350014327496278,1.43281691,0.29651841
108350014328831197,1.43294949,0.29227837
108350014330431472,1.43310421,0.29251435
108350014330695151,1.43313648,0.29556859
108350014333362579,1.43339674,0.29343194
108350014333378524,1.4333989,0.29838901
108350014334574369,1.43337634,0.29498589
108350014337748259,1.43383527,0.29817101
108350014337965953,1.43386565,0.29650268
108350014338213580,1.43381974,0.29418727
108350014339920046,1.43405556,0.29133284
108350014340291537,1.43409707,0.29257168
108350014340393831,1.43403911,0.29450434
108350014340965160,1.4341678,0.29559429
108350014341560351,1.43422391,0.29158126
108350014343590634,1.43435907,0.29184231
108350014343745311,1.43444251,0.29571323
108350014347196216,1.43478586,0.29646875
108350014349892487,1.43506132,0.29335671
108350014351451201,1.43521814,0.29229511
108350014355887464,1.43558622,0.297538
108350014356431232,1.43580161,0.29227334
108350014356736242,1.4357429,0.29649094
108350014361433155,1.4362127,0.29391796
108350014362077364,1.43625906,0.29743525
